ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,AcceptedCmp6,Age,Age_Group,Income_Group,Family_Size,Frequency,Monetary,Total_Spending,Month
5524,1957,Graduation,Single,58138.0,0,0,2012-04-09,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,57,55-64,Medium,1,25,1617,1529,4
2174,1954,Graduation,Single,46344.0,1,1,2014-08-03,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,60,55-64,Medium,3,6,27,26,8
4141,1965,Graduation,Partnered,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,49,45-54,High,1,21,776,727,8
6182,1984,Graduation,Partnered,26646.0,1,0,2014-10-02,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,30,25- 34,Low,2,8,53,49,10
5324,1981,PhD,Partnered,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,33,25- 34,Medium,2,19,422,379,1
7446,1967,Master,Partnered,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,47,45-54,Medium,2,22,716,674,9
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,43,35-44,Medium,2,21,590,525,11
6177,1985,PhD,Partnered,33454.0,1,0,2013-08-05,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,29,25- 34,Low,2,10,169,159,8
4855,1974,PhD,Partnered,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,40,35-44,Low,2,6,46,46,6
5899,1950,PhD,Partnered,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,64,55-64,Low,3,2,49,49,3
1994,1983,Graduation,Partnered,51983.0,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,31,25- 34,Medium,2,4,19,14,11
387,1976,Basic,Partnered,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,38,35-44,Low,1,6,61,45,11
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,55,45-54,Medium,1,16,1102,1041,11
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,62,55-64,Medium,3,15,310,308,11
2569,1987,Graduation,Partnered,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,27,25- 34,Low,1,5,46,32,10
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,68,65+,High,1,26,1315,1293,11
9736,1980,Graduation,Partnered,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,34,25- 34,Medium,3,9,96,91,12
4939,1946,Graduation,Partnered,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,68,65+,Medium,1,13,317,312,8
6565,1949,Master,Partnered,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,65,55-64,High,2,26,1782,1702,3
2278,1985,Master,Single,33812.0,1,0,2012-03-11,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,29,25- 34,Low,2,8,133,116,3
9360,1982,Graduation,Partnered,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,32,25- 34,Medium,1,12,316,314,8
5376,1979,Graduation,Partnered,2447.0,1,0,2013-06-01,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,35,25- 34,Low,2,43,1730,1729,6
1993,1949,PhD,Partnered,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,65,55-64,Medium,2,17,972,972,12
4047,1954,PhD,Partnered,65324.0,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,60,55-64,Medium,2,20,544,544,11
1409,1951,Graduation,Partnered,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,63,55-64,Medium,2,20,444,441,3
7892,1969,Graduation,Single,18589.0,0,0,2013-02-01,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,45,35-44,Low,1,8,75,71,2
2404,1976,Graduation,Partnered,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,38,35-44,Medium,3,14,257,253,5
5255,1986,Graduation,Single,51983.0,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,28,25- 34,Medium,2,27,637,636,2
9422,1989,Graduation,Partnered,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,25,15-24,Medium,2,9,131,129,5
1966,1965,PhD,Partnered,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,49,45-54,High,1,26,1672,1572,11
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,25,15-24,Low,1,8,30,26,5
3033,1963,Master,Partnered,38620.0,0,0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,51,45-54,Medium,1,11,318,301,11
5710,1970,Graduation,Partnered,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,44,35-44,Medium,2,9,120,120,10
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,62,55-64,Medium,3,17,302,290,10
8755,1946,Master,Partnered,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,68,65+,High,1,18,1196,1162,2
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,63,55-64,Medium,3,6,65,65,8
4339,1970,PhD,Partnered,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,44,35-44,Medium,2,28,913,896,12
10755,1976,Master,Partnered,23718.0,1,0,2013-02-09,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,38,35-44,Low,2,9,81,78,2
8595,1973,Graduation,Widow,42429.0,0,1,2014-11-02,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,41,35-44,Medium,2,7,67,67,11
2968,1943,PhD,Divorced,48948.0,0,0,2013-01-02,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,71,65+,Medium,1,24,902,894,1
8601,1980,Graduation,Partnered,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,34,25- 34,High,2,21,1395,1319,4
503,1985,Master,Partnered,20559.0,1,0,2013-12-03,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,29,25- 34,Low,2,7,53,52,12
8430,1957,Graduation,Partnered,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,57,55-64,Low,2,4,22,22,12
7281,1959,PhD,Single,55212.0,0,0,2013-05-11,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,55,45-54,Medium,1,9,186,175,5
2139,1975,Master,Partnered,7500.0,1,0,2013-02-10,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,39,35-44,Low,2,8,31,30,2
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,38,35-44,High,1,16,984,820,6
9909,1996,Master,Partnered,7500.0,0,0,2012-09-11,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,18,15-24,Low,1,10,122,104,9
7286,1968,Graduation,Partnered,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,46,45-54,Medium,2,5,55,49,5
7244,1951,Graduation,Single,51983.0,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,63,55-64,Medium,4,10,124,119,1
6566,1954,PhD,Partnered,72550.0,1,1,2012-08-11,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,60,55-64,High,3,28,1319,1269,8
8614,1957,Graduation,Widow,65486.0,0,1,2014-12-05,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,57,55-64,Medium,2,17,507,488,12
4114,1964,Master,Partnered,79143.0,0,0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,50,45-54,High,1,29,1693,1656,11
1331,1977,Graduation,Single,35790.0,1,0,2013-02-01,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,37,35-44,Medium,2,7,72,66,2
2225,1977,Graduation,Divorced,82582.0,0,0,2014-07-06,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,37,35-44,High,1,21,1617,1497,7
9381,1978,Graduation,Partnered,66373.0,1,1,2013-12-06,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,36,35-44,Medium,3,23,606,597,12
6260,1955,Master,Partnered,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,59,55-64,High,1,27,1957,1906,11
10383,1966,Graduation,Divorced,70287.0,0,0,2013-02-04,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,48,45-54,High,1,21,1093,1058,2
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,26,25- 34,Low,2,6,29,29,4
8557,1982,Graduation,Single,51983.0,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,32,25- 34,Medium,2,7,46,43,6
8375,1968,PhD,Partnered,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,46,45-54,Medium,2,19,518,518,3
6853,1982,Master,Single,75777.0,0,0,2013-04-07,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,32,25- 34,High,1,21,1438,1412,4
3076,1975,Graduation,Partnered,66653.0,1,1,2012-07-09,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,39,35-44,Medium,3,22,612,594,7
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,62,55-64,Medium,2,24,884,877,2
6518,1951,PhD,Widow,67680.0,0,1,2013-11-06,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,63,55-64,Medium,2,19,606,606,11
4137,1948,Graduation,Partnered,70666.0,0,0,2013-06-12,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,66,65+,High,1,16,1076,1036,6
8082,1971,Graduation,Partnered,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,43,35-44,Low,2,5,34,31,5
1386,1967,Graduation,Partnered,32474.0,1,1,2014-11-05,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,47,45-54,Low,3,4,11,11,11
9369,1979,Master,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,35,25- 34,High,2,32,1274,1260,3
4477,1958,Graduation,Partnered,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,56,55-64,High,2,18,653,604,9
1357,1970,Graduation,Partnered,74854.0,1,2,2013-08-04,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,44,35-44,High,4,19,1562,1503,8
1402,1954,Master,Partnered,66991.0,0,0,2012-11-09,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,60,55-64,Medium,1,21,1253,1217,11
10629,1973,Master,Partnered,49588.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,41,35-44,Medium,2,9,109,106,9
6312,1959,Graduation,Partnered,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,55,45-54,Medium,2,30,863,756,3
8132,1975,PhD,Partnered,60631.0,1,1,2013-05-04,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,39,35-44,Medium,3,24,661,655,5
1050,1952,Graduation,Partnered,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,62,55-64,Low,1,8,65,55,4
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,37,35-44,Medium,2,4,13,12,12
1859,1972,Master,Partnered,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,42,35-44,High,1,19,1890,1779,8
7503,1976,Graduation,Single,75825.0,0,0,2012-12-10,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,38,35-44,High,1,22,2209,2104,12
10401,1976,Master,Partnered,26326.0,0,0,2013-04-09,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,38,35-44,Low,1,4,18,18,4
1618,1965,Graduation,Partnered,56046.0,0,0,2013-02-01,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,49,45-54,Medium,1,21,692,692,2
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,29,25- 34,Low,2,12,165,161,8
2261,1969,Graduation,Partnered,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,45,35-44,Low,2,4,16,15,6
5346,1973,Master,Partnered,23559.0,1,0,2013-03-07,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,41,35-44,Low,2,9,79,74,3
4119,1963,Master,Partnered,38620.0,0,0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,51,45-54,Medium,1,11,318,301,11
